,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
1,"15q13.3 microdeletion",https://ghr.nlm.nih.gov/condition/15q133-microdeletion,"15q13.3 microdeletion likely occurs in about 1 in 40,000 people in the",html,,code,memo,related-chromosome,name,ghr-page,"15q13.3 microdeletion syndrome",db,key,2016-08,2017-12-291,,,,
,(interllectual),,"general population. It appears to be more common in people with intellectual",html:p,"15q13.3 microdeletion is a chromosomal change in which a small piece of",ad,"autosomal dominant",,15,https://ghr.nlm.nih.gov/chromosome/15,"chromosome 15q13.3 deletion syndrome",GTR,C2677613,,,,,,
,"(developmental delay)",,"disability, epilepsy, schizophrenia, or autism spectrum disorders.",,"chromosome 15 is deleted in each cell. The deletion occurs on the long (q) arm",,,,,,,db,key,,,,,,
,(behavioral),,,,"of the chromosome at a position designated q13.3. This chromosomal change",,,,,,,GeneReviews,mdel15q13_3,,,,,,
,(cognitive),,,,"increases the risk of intellectual disability, seizures, behavioral problems,",,,,,,,db,key,,,,,,
,(epilepsy),,,,"and psychiatric disorders. However, some people with a 15q13.3 microdeletion do",,,,,,,MeSH,D025063,,,,,,
,"(psychiatric/ mental: schizophrenia)",,,,"not appear to have any associated features.",,,,,,,db,key,,,,,,
,"(distinctive facial feature)",,,html:p,"About half of all people with a 15q13.3 microdeletion have learning difficulties",,,,,,,OMIM,612001,,,,,,
,(heart),,,,"or intellectual disability, which is usually mild or moderate. Many of these",,,,,,,db,key,,,,,,
,(limbs),,,,"individuals have delayed speech and language skills. 15q13.3 microdeletion also",,,,,,,Orphanet,199318,,,,,,
,"(some may not have any signs)",,,,"appears to be a major risk factor for recurrent seizures (epilepsy); about",,,,,,,db,key,,,,,,
,,,,,"one-third of people with this chromosomal change have epilepsy.",,,,,,,"SNOMED CT",699254009,,,,,,
,,,,html:p,"15q13.3 microdeletion has also been associated with behavioral problems,",,,,,,,,,,,,,,
,,,,,"including a short attention span, aggression, impulsive behavior, and",,,,,,,,,,,,,,
,,,,,"hyperactivity. Some people with a 15q13.3 microdeletion have been diagnosed with",,,,,,,,,,,,,,
,,,,,"developmental disorders that affect communication and social interaction",,,,,,,,,,,,,,
,,,,,"(autism spectrum disorders). This chromosomal change may also be associated with",,,,,,,,,,,,,,
,,,,,"an increased risk of psychiatric disorders, particularly schizophrenia. Other",,,,,,,,,,,,,,
,,,,,"signs and symptoms of 15q13.3 microdeletion can include heart defects, minor",,,,,,,,,,,,,,
,,,,,"abnormalities involving the hands and arms, and subtle differences in facial",,,,,,,,,,,,,,
,,,,,features.,,,,,,,,,,,,,,
,,,,html:p,"Some people with a 15q13.3 microdeletion do not have any of the intellectual,",,,,,,,,,,,,,,
,,,,,"behavioral, or physical features described above. In these individuals, the",,,,,,,,,,,,,,
,,,,,"microdeletion is often detected when they undergo genetic testing because they",,,,,,,,,,,,,,
,,,,,"have an affected relative. It is unknown why a 15q13.3 microdeletion causes",,,,,,,,,,,,,,
,,,,,"cognitive and behavioral problems in some individuals but few or no health",,,,,,,,,,,,,,
,,,,,"problems in others.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,"15q24 microdeletion",https://ghr.nlm.nih.gov/condition/15q24-microdeletion,"This condition is very rare; only a few dozen affected individuals have",html,,code,memo,related-chromosome,name,ghr-page,"15q24 deletion",db,key,2011-09,2017-12-29,,,,
,(intellectual),,"been identified.",html:p,"15q24 microdeletion is a chromosomal change in which a small piece of chromosome",n,"not inherited",,15,https://ghr.nlm.nih.gov/chromosome/15,"15q24 microdeletion syndrome",GTR,C3150674,,,,,,
,(developmental),,,,"15 is deleted in each cell. The deletion occurs on the long (q) arm of the",,,,,,"interstitial deletion of chromosome 15q24",db,key,,,,,,
,"(male:sexual ambiguous)",,,,"chromosome at a position designated q24.",,,,,,,GeneReviews,mdel15q24,,,,,,
,(short),,,html:p,"15q24 microdeletion is associated with mild to moderate intellectual disability",,,,,,,db,key,,,,,,
,(muscle),,,,"and delayed speech development. Other common signs and symptoms include short",,,,,,,MeSH,D025063,,,,,,
,(skeletal),,,,"stature, weak muscle tone (hypotonia), and skeletal abnormalities including",,,,,,,db,key,,,,,,
,"(distinctive facial feature)",,,,"loose (lax) joints. Affected males may have genital abnormalities, which can",,,,,,,OMIM,613406,,,,,,
,,,,,"include an unusually small penis (micropenis) and the opening of the urethra on",,,,,,,db,key,,,,,,
,,,,,"the underside of the penis (hypospadias). Affected individuals also have",,,,,,,Orphanet,94065,,,,,,
,,,,,"distinctive facial features such as a high front hairline, broad eyebrows,",,,,,,,db,key,,,,,,
,,,,,"widely set eyes (hypertelorism), outside corners of the eyes that point downward",,,,,,,"SNOMED CT",699308002,,,,,,
,,,,,"(downslanting palpebral fissures), a broad nasal bridge, a full lower lip, and",,,,,,,,,,,,,,
,,,,,"a long, smooth space between the upper lip and nose (philtrum).",,,,,,,,,,,,,,
3,"16p11.2 deletion syndrome",https://ghr.nlm.nih.gov/condition/16p112-deletion-syndrome,"Most people tested for the 16p11.2 deletion have come to medical attention",html,,code,memo,related-chromosome,name,ghr-page,"autism, susceptibility to, 14A",db,key,2014-09,2017-12-29,,,,
,(intellectual),,"as a result of developmental delay or autistic behaviors. Other individuals with",html:p,"16p11.2 deletion syndrome is a disorder caused by a deletion of a small piece of",ad,"autosomal dominant",,16,https://ghr.nlm.nih.gov/chromosome/16,AUTS14A,GTR,C3150154,,,,,,
,(developmental),,"the 16p11.2 deletion have no associated health or behavioral problems, and so",,"chromosome 16. The deletion occurs near the middle of the chromosome at a",,,,,,,db,key,,,,,,
,(autistic),,"the deletion may never be detected. For this reason, the prevalence of this",,"location designated p11.2.",,,,,,,GTR,CN128718,,,,,,
,(epilepsy),,"deletion in the general population is difficult to determine but has been",html:p,"People with 16p11.2 deletion syndrome usually have developmental delay and",,,,,,,db,key,,,,,,
28,"(physical: low-set ears; partially webbed toes)",,"estimated at approximately 3 in 10,000.",,"intellectual disability. Most also have at least some features of autism",,,,,,,GeneReviews,del16p11_2,,,,,,
,(behavioral),,,,"spectrum disorders. These disorders are characterized by impaired communication",,,,,,,db,key,,,,,,
,(obesity),,,,"and socialization skills, as well as delayed development of speech and language.",,,,,,,MeSH,D025063,,,,,,
,"(some may not have sign)",,,,"In 16p11.2 deletion syndrome, expressive language skills (vocabulary and the",,,,,,,db,key,,,,,,
,,,,,"production of speech) are generally more severely affected than receptive",,,,,,,OMIM,611913,,,,,,
,,,,,"language skills (the ability to understand speech). Some people with this",,,,,,,db,key,,,,,,
,,,,,"disorder have recurrent seizures (epilepsy).",,,,,,,"SNOMED CT",699307007,,,,,,
,,,,html:p,"Some affected individuals have minor physical abnormalities such as low-set ears",,,,,,,,,,,,,,
,,,,,"or partially webbed toes (partial syndactyly). People with this disorder are",,,,,,,,,,,,,,
,,,,,"also at increased risk of obesity compared with the general population. However,",,,,,,,,,,,,,,
,,,,,"there is no particular pattern of physical abnormalities that characterizes",,,,,,,,,,,,,,
,,,,,"16p11.2 deletion syndrome. Signs and symptoms of the disorder vary even among",,,,,,,,,,,,,,
,,,,,"affected members of the same family. Some people with the deletion have no",,,,,,,,,,,,,,
,,,,,"identified physical, intellectual, or behavioral abnormalities.",,,,,,,,,,,,,,
4,"16p11.2 duplication",https://ghr.nlm.nih.gov/condition/16p112-duplication,"16p11.2 duplications have been estimated to occur in about 3 in 10,000",html,,code,memo,related-chromosome,name,ghr-page,"16p11.2 duplication syndrome",db,key,2016-12,2017-12-29,,,,
,(intellectual),,"people. These changes are present in about 4 in 10,000 people who have mental",html:p,"16p11.2 duplication is a chromosomal change in which a small amount of genetic",ad,"autosomal dominant",,16,https://ghr.nlm.nih.gov/chromosome/16,"16p11.2 microduplication",GTR,C3150155,,,,,,
,(developmental),,"health problems or difficulties with speech and language. Many people with the",,"material within chromosome 16 is abnormally copied (duplicated). The duplication",,,,,,"autism, susceptibility to, 14B",db,key,,,,,,
,"(behavioral: ADHD)",,"duplication are likely never diagnosed because there are many causes of these",,"occurs near the middle of the chromosome at a location designated p11.2. This",,,,,,AUTS14B,MeSH,D025063,,,,,,
,"(psychiatric/ mental: schizophrenia, anxiety, depression)",,"problems, and some people with the duplication have no related health or",,"duplication can have a variety of effects. Common characteristics that occur in",,,,,,,db,key,,,,,,
