"Syndromes related to hair loss/ baldness, not sparse hair",,,,,
Name,GHR-webpage,,Problems,,Genes
"Androgenetic alopecia",https://ghr.nlm.nih.gov/condition/androgenetic-alopecia,,"hair loss","a common form of hair loss in both men and women. In men, this condition is also known as male-pattern baldness. Hair is lost in a well-defined pattern, beginning above both temples. Over time, the hairline recedes to form a characteristic ""M"" shape. Hair also thins at the crown (near the top of the head), often progressing to partial or complete baldness.The pattern of hair loss in women differs from male-pattern baldness. In women, the hair becomes thinner all over the head, and the hairline does not recede. Androgenetic alopecia in women rarely leads to total baldness.Androgenetic alopecia in men has been associated with several other medical conditions including coronary heart disease and enlargement of the prostate. Additionally, prostate cancer, disorders of insulin resistance (such as diabetes and obesity), and high blood pressure (hypertension) have been related to androgenetic alopecia. In women, this form of hair loss is associated with an increased risk of polycystic ovary syndrome (PCOS). PCOS is characterized by a hormonal imbalance that can lead to irregular menstruation, acne, excess hair elsewhere on the body (hirsutism), and weight gain.","Although researchers suspect that several genes play a role in androgenetic alopecia, variations in only one gene, AR, have been confirmed in scientific studies."
"Atopic dermatitis",https://ghr.nlm.nih.gov/condition/atopic-dermatitis,,"hair loss","Individuals with atopic dermatitis have an increased risk of developing other conditions related to inflammation, such as inflammatory bowel disease, rheumatoid arthritis, and hair loss caused by a malfunctioning immune reaction (alopecia areata). ","In very rare cases, atopic dermatitis is caused by inherited mutations in a single gene. One such gene is the CARD11 gene. Several common genetic variations may be involved, each contributing only a small amount to the risk of developing atopic dermatitis. The strongest of these associations is with the FLG gene, which is altered in 20 to 30 percent of people with atopic dermatitis compared with 8 to 10 percent of the general population without atopic dermatitis."
"Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy",https://ghr.nlm.nih.gov/condition/autoimmune-polyendocrinopathy-candidiasis-ectodermal-dystrophy,,"hair loss","Additional features that occur in people with APECED, many of which can lead to permanent organ and tissue damage if left untreated, include stomach irritation (gastritis), liver inflammation (hepatitis), lung irritation (pneumonitis), dry mouth and dry eyes (Sjogren-like syndrome), inflammation of the eyes (keratitis), kidney problems (nephritis), vitamin B12 deficiency, hair loss (alopecia),","Mutations in the AIRE gene cause APECED. Th"
"Autosomal recessive hypotrichosis",https://ghr.nlm.nih.gov/condition/autosomal-recessive-hypotrichosis,,"sparse hair, hair loss","Autosomal recessive hypotrichosis is a condition that affects hair growth. People with this condition have sparse hair (hypotrichosis) on the scalp beginning in infancy. Over time, the hair problems can remain stable or progress to complete scalp hair loss (alopecia) In Japan, the condition is estimated to affect 1 in 10,000 individuals.","Mutations in the LIPH, LPAR6, or DSG4 gene result in the production of abnormal proteins that cannot aid in the development of hair follicles. As a result, hair follicles are structurally abnormal and often underdeveloped. Irregular hair follicles alter the structure and growth of hair shafts, leading to woolly, fragile hair that is easily broken. "
"Biotinidase deficiency",https://ghr.nlm.nih.gov/condition/biotinidase-deficiency,,"hair loss","Biotinidase deficiency is an inherited disorder in which the body is unable to recycle the vitamin biotin. Profound biotinidase deficiency, the more severe form of the condition, can cause seizures, weak muscle tone (hypotonia), breathing problems, hearing and vision loss, problems with movement and balance (ataxia), skin rashes, hair loss (alopecia), Partial biotinidase deficiency is a milder form of this condition. Without treatment, affected children may experience hypotonia, skin rashes, and hair loss, but these problems may appear only during illness, infection, or other times of stress.","Mutations in the BTD gene reduce or eliminate the activity of biotinidase. "
"Björnstad syndrome",https://ghr.nlm.nih.gov/condition/bjornstad-syndrome,,"hair grows slowly","The hair is brittle and breaks easily, leading to short hair that grows slowly. The proportion of hairs affected and the severity of brittleness and breakage can vary. This hair abnormality commonly begins before the age of 2. It may become milder with age, particularly after puberty.","Björnstad syndrome is caused by mutations in the BCS1L gene."
"Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy",https://ghr.nlm.nih.gov/condition/cerebral-autosomal-recessive-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy,,"hair loss","Other characteristic features of CARASIL include premature hair loss (alopecia). The hair loss often begins during adolescence and is limited to the scalp.","In people with CARASIL, mutations in the HTRA1 gene prevent the effective regulation of TGF-β signaling. Dysregulation of TGF-β signaling may also underlie the hair loss in people with CARASIL, although the relationship between abnormal TGF-β signaling and these features is less clear."
"Clouston syndrome",https://ghr.nlm.nih.gov/condition/clouston-syndrome,,"hair loss","In infants with Clouston syndrome, scalp hair is sparse, patchy, By puberty, the hair problems may worsen until all the hair on the scalp is lost (total alopecia).","Clouston syndrome is caused by mutations in the GJB6 gene. This gene provides instructions for making a protein called gap junction beta 6, more commonly known as connexin 30. GJB6 gene mutations that cause Clouston syndrome change single protein building blocks (amino acids) in the connexin 30 protein. Although the effects of these mutations are not fully understood, they lead to abnormalities in the growth, division, and maturation of cells in the hair follicles, "
"Dihydropyrimidine dehydrogenase deficiency",https://ghr.nlm.nih.gov/condition/dihydropyrimidine-dehydrogenase-deficiency,,"hair loss","People with dihydropyrimidine dehydrogenase deficiency, including those who otherwise exhibit no symptoms, are vulnerable to severe, potentially life-threatening toxic reactions to certain drugs called fluoropyrimidines that are used to treat cancer. Fluoropyrimidine toxicity may also lead to low numbers of white blood cells (neutropenia), which increases the risk of infections. It can also be associated with low numbers of platelets in the blood (thrombocytopenia), which impairs blood clotting and may lead to abnormal bleeding (hemorrhage). Redness, swelling, numbness, and peeling of the skin on the palms and soles (hand-foot syndrome); shortness of breath; and hair loss may also occur.","Mutations in the DPYD gene result in a lack (deficiency) of functional dihydropyrimidine dehydrogenase. Because fluoropyrimidine drugs are also broken down by the dihydropyrimidine dehydrogenase enzyme, deficiency of this enzyme leads to the drug buildup that causes fluoropyrimidine toxicity."
"Dyskeratosis congenita",https://ghr.nlm.nih.gov/condition/dyskeratosis-congenita,,"hair loss, grey hair","People with dyskeratosis congenita may also develop pulmonary fibrosis, a condition that causes scar tissue (fibrosis) to build up in the lungs, decreasing the transport of oxygen into the bloodstream. Additional signs and symptoms that occur in some people with dyskeratosis congenita include eye abnormalities such as narrow tear ducts that may become blocked, preventing drainage of tears and leading to eyelid irritation; dental problems; hair loss or prematurely grey hair;","In about half of people with dyskeratosis congenita, the disorder is caused by mutations in the TERT, TERC, DKC1, or TINF2 gene. These genes provide instructions for making proteins that help maintain structures known as telomeres, which are found at the ends of chromosomes. In a small number of individuals with dyskeratosis congenita, mutations in other genes involved with telome, CTC1, DKC1, NHP2, NOP10, RTEL1, TERC, TERT, TINF2, WRAP53,re maintenance have been identified. "
