"Syndroms related to sudden death",,,,,,syncope,"heart failure",,"cardiac arrest",,,coma
Name,,Website,,Problems,,Genes,,,,,,
"3-hydroxy-3-methylglutaryl-CoA lyase deficiency",,https://ghr.nlm.nih.gov/condition/3-hydroxy-3-methylglutaryl-coa-lyase-deficiency#genes,,"Coma and death","An uncommon inherited disorder in which the body cannot process a particular protein building block (amino acid) called leucine. The signs and symptoms of HMG-CoA lyase deficiency usually appear within the first year of life. The condition causes episodes of vomiting, diarrhea, dehydration, extreme tiredness (lethargy), and weak muscle tone (hypotonia). During an episode, blood sugar levels can become dangerously low (hypoglycemia), and a buildup of harmful compounds can cause the blood to become too acidic (metabolic acidosis). If untreated, the disorder can lead to breathing problems, convulsions, coma, and death.","A mutation in the HMGCL gene reduces or eliminates the activity of HMG-CoA lyase, the body is unable to process leucine or make ketones properly. When leucine is not processed normally, a buildup of chemical byproducts called organic acids can result in metabolic acidosis. A shortage of ketones often leads to hypoglycemia. Metabolic acidosis and hypoglycemia can damage cells, particularly in the brain, resulting in serious illness in children with HMG-CoA lyase deficiency",,,,,,
"3-hydroxyacyl-CoA dehydrogenase deficiency",,https://ghr.nlm.nih.gov/condition/3-hydroxyacyl-coa-dehydrogenase-deficiency,,"Sudden death","Individuals with 3-hydroxyacyl-CoA dehydrogenase deficiency are also at risk for complications such as dden eath.This condition may explain some cases of sudden infant death syndrome (SIDS), which is defined as unexplained death in babies younger than 1 year.","Mutations in the HADH gene",,,,"Metabolic disease",,
"3-methylcrotonyl-CoA carboxylase deficiency",,https://ghr.nlm.nih.gov/condition/3-methylcrotonyl-coa-carboxylase-deficiency,,Coma,"3-methylcrotonyl-CoA carboxylase deficiency (also known as 3-MCC deficiency) is an inherited disorder in which the body is unable to process certain proteins properly. People with this disorder have a shortage of an enzyme that helps break down proteins containing a particular building block (amino acid) called leucine.If untreated, this disorder can lead to delayed development, seizures, and coma. ","Mutations in the MCCC1 or MCCC2 gene reduce or eliminate the activity of 3-MCC, preventing the body from processing leucine properly. As a result, toxic byproducts of leucine processing build up to harmful levels, which can damage the brain. This damage underlies the signs and symptoms of 3-MCC deficiency.",,,,,,
"Acute necrotizing encephalopathy type 1",,https://ghr.nlm.nih.gov/condition/acute-necrotizing-encephalopathy-type-1,,Coma,"A rare type of brain disease (encephalopathy) that occurs following a viral infection such as the flu.Typically appears in infancy or early childhood, although some people do not develop the condition until adolescence or adulthood. People with this condition usually show typical symptoms of an infection, such as fever, cough, congestion, vomiting, and diarrhea, for a few days. Following these flu-like symptoms, affected individuals develop neurological problems, such as seizures, hallucinations, difficulty coordinating movements (ataxia), or abnormal muscle tone. Eventually, most affected individuals go into a coma, which usually lasts for a number of weeks.Approximately one-third of individuals with acute necrotizing encephalopathy type 1 do not survive their illness and subsequent neurological decline. Of those who do survive, about half have permanent brain damage due to tissue necrosis, resulting in impairments in walking, speech, and other basic functions. Over time, many of these skills may be regained, but the loss of brain tissue is permanent. Other individuals who survive their illness appear to recover completely.","Mutations in the RANBP2 gene have been found to increase the risk of developing acute necrotizing encephalopathy type 1. ",,,,,,
"Andersen-Tawil syndrome",,https://ghr.nlm.nih.gov/condition/andersen-tawil-syndrome,,"Syncope and sudden death","A disorder that causes episodes of muscle weakness (periodic paralysis), changes in heart rhythm (arrhythmia), and developmental abnormalities. Uncommonly, the irregular heartbeats can cause fainting (syncope), and even more rarely, sudden death.","Mutations in the KCNJ2 gene cause about 60 percent of all cases of Andersen-Tawil syndrome. When the disorder is caused by mutations in this gene, it is classified as type 1 (ATS1).In the 40 percent of cases not caused by KCNJ2 gene mutations, the cause of Andersen-Tawil syndrome is usually unknown. These cases are classified as type 2 (ATS2). Studies suggest that variations in at least one other potassium channel gene may underlie the disorder in some of these affected individuals.",,,,,,
"Ankyrin-B syndrome",,https://ghr.nlm.nih.gov/condition/ankyrin-b-syndrome,,"Syncope, cardiac arrest, and Sudden death","In people with ankyrin-B syndrome, arrhythmia (heart problems related to disruption of the heart's normal rhythm) can lead to fainting (syncope) or cardiac arrest and sudden death.","mutations in the ANK2 gene",,,,"Heart disease",,
"Argininosuccinic aciduria",,https://ghr.nlm.nih.gov/condition/argininosuccinic-aciduria,,Coma,"Argininosuccinic aciduria is an inherited disorder that causes ammonia to accumulate in the blood. Argininosuccinic aciduria usually becomes evident in the first few days of life. An infant with argininosuccinic aciduria may be lacking in energy (lethargic) or unwilling to eat, and have poorly controlled breathing rate or body temperature. Some babies with this disorder experience seizures or unusual body movements, or go into a coma. ","Mutations in the ASL gene cause argininosuccinic aciduria.",,,,,,
"Aromatic l-amino acid decarboxylase deficiency",,https://ghr.nlm.nih.gov/condition/aromatic-l-amino-acid-decarboxylase-deficiency,,"Syncope and cardiac arrest","An inherited disorder that affects the way signals are passed between certain cells in the nervous system. Resulting signs and symptoms can include fainting (syncope), and cardiac arrest.","Mutations in the DDC gene result in reduced activity of the AADC enzyme. Without enough of this enzyme, nerve cells produce less dopamine and serotonin. Dopamine and serotonin are necessary for normal nervous system function, and changes in the levels of these neurotransmitters contribute to the developmental delay, intellectual disability, abnormal movements, and autonomic dysfunction seen in people with AADC deficiency.",,,,,,
"Arrhythmogenic right ventricular cardiomyopathy",,https://ghr.nlm.nih.gov/condition/arrhythmogenic-right-ventricular-cardiomyopathy,,"Sudden death, syncope, and heart failure","This condition causes part of the myocardium to break down over time, increasing the risk of an abnormal heartbeat (arrhythmia) and sudden death.ARVC may not cause any symptoms in its early stages. However, affected individuals may still be at risk of sudden death, especially during strenuous exercise.When symptoms occur, they most commonly include a sensation of fluttering or pounding in the chest (palpitations), light-headedness, and fainting (syncope). Over time, ARVC can also cause shortness of breath and abnormal swelling in the legs or abdomen. If the myocardium becomes severely damaged in the later stages of the disease, it can lead to heart failure.","ARVC can result from mutations in at least 13 genes (DSC2, DSG2, DSP, JUP, PKP2, RYR2, TGFB3, TMEM43). Many of these genes are known as desmosomal genes because they provide instructions for making components of cell structures called desmosomes. Mutations in a desmosomal gene called PKP2 appear to be most common. In people without an identified mutation, the cause of the disorder is unknown. Researchers are looking for additional genetic factors that play a role in causing ARVC.",,,,"Heart disease",,
