"Syndroms related to vision impairment",,,,,,,,
Name,,Website,,Problems,,,,Genes
"17β-hydroxysteroid dehydrogenase type 10 deficiency",,https://ghr.nlm.nih.gov/condition/hsd10-disease,,"vision loss ",,,,"HSD17B10 gene mutations cause HSD10 disease reduce the amount of HSD10 protein in cells, impair their structure or function, or both, which leads to a deficiency of the functional complex in which it plays a part. This deficiency impairs the production of mitochondrial tRNAs. Without enough tRNAs, the mitochondrial synthesis of proteins involved in cellular energy production is reduced. A shortage of these proteins results in insufficient energy production in cells of the brain, eyes, and heart, leading to the characteristic features of HSD10 disease."
"19p13.13 deletion syndrome",,https://ghr.nlm.nih.gov/condition/19p1313-deletion-syndrome,,"strabismus and underdevelopment of the optic nerves",,,,"Maybe the loss of the following genes: BEST2, CACNA1, CAL, MAST, and NFI. "
"1p36 deletion syndrome",,https://ghr.nlm.nih.gov/condition/1p36-deletion-syndrome,,"may have vision problem",,,,"1p36 deletion"
"1q21.1 microdeletion",,https://ghr.nlm.nih.gov/condition/1q211-microdeletion,,"Other common signs and symptoms of 1q21.1 microdeletions include eye problems such as clouding of the lenses (cataracts).",,,,"1q21.1 microdeletion are missing a sequence of about 1.35 million DNA building blocks (base pairs), also written as 1.35 megabases (Mb), in the q21.1 region of chromosome 1. However, the exact size of the deleted region varies. "
Abetalipoproteinemia,,https://ghr.nlm.nih.gov/condition/abetalipoproteinemia,,"Individuals with this condition may also develop an eye disorder called retinitis pigmentosa, in which breakdown of the light-sensitive layer (retina) at the back of the eye can cause vision loss. In individuals with abetalipoproteinemia, the retinitis pigmentosa can result in complete vision loss. People with abetalipoproteinemia may also have other eye problems, including involuntary eye movements (nystagmus), eyes that do not look in the same direction (strabismus), and weakness of the external muscles of the eye (ophthalmoplegia).",,,,"MTTP gene mutations lead to the production of microsomal triglyceride transfer protein with reduced or absent function and unable to help in the formation of beta-lipoproteins. A lack of beta-lipoproteins causes severely reduced absorption (malabsorption) of dietary fats and fat-soluble vitamins from the digestive tract into the bloodstream. These nutritional deficiencies lead to health problems in people with abetalipoproteinemia."
Achromatopsia,,https://ghr.nlm.nih.gov/condition/achromatopsia,,"Achromatopsia is a condition characterized by a partial or total absence of color vision. People with complete achromatopsia cannot perceive any colors; they see only black, white, and shades of gray. Incomplete achromatopsia is a milder form of the condition that allows some color discrimination. Achromatopsia also involves other problems with vision, including an increased sensitivity to light and glare (photophobia), involuntary back-and-forth eye movements (nystagmus), and significantly reduced sharpness of vision (low visual acuity). Affected individuals can also have farsightedness (hyperopia) or, less commonly, nearsightedness (myopia). These vision problems develop in the first few months of life.",,,,"Achromatopsia results from changes in one of several genes: CNGA3, CNGB3, GNAT2, PDE6C, or PDE6H. Mutations in any of the genes listed above prevent cones from reacting appropriately to light, which interferes with phototransduction. In people with complete achromatopsia, cones are nonfunctional, and vision depends entirely on the activity of rods. The loss of cone function leads to a total lack of color vision and causes the other vision problems. People with incomplete achromatopsia retain some cone function. These individuals have limited color vision, and their other vision problems tend to be less severe.Some people with achromatopsia do not have identified mutations in any of the known genes. In these individuals, the cause of the disorder is unknown. Other genetic factors that have not been identified likely contribute to this condition."
"ADNP syndrome",,https://ghr.nlm.nih.gov/condition/adnp-syndrome,,"Eye and vision abnormalities, such as eyes that do not point in the same direction (strabismus) and farsightedness (hyperopia), also occur in ADNP syndrome.",,,,"Mutations in the ADNP gene"
"Age-related macular degeneration",,https://ghr.nlm.nih.gov/condition/age-related-macular-degeneration,,"A leading cause of vision loss in older people in developed countries. The vision loss usually becomes noticeable in a person's sixties or seventies and tends to worsen over time. Researchers have described two major types of age-related macular degeneration, known as the dry form and the wet form. The dry form is much more common, accounting for 85 to 90 percent of all cases of age-related macular degeneration. It is characterized by a buildup of yellowish deposits called drusen beneath the retina and vision loss that worsens slowly over time. The condition typically affects vision in both eyes, although vision loss often occurs in one eye before the other. The wet form of age-related macular degeneration is associated with severe vision loss that can worsen rapidly. This form of the condition is characterized by the growth of abnormal, fragile blood vessels underneath the macula. These vessels leak blood and fluid, which damages the macula and makes central vision appear blurry and distorted. ",,,,"Researchers have considered changes in many genes (ABCA4, APOE, ARMS2, ASPM,  BEST1, C2, C3, C9, CETP, CFB, CFH, CFHR1, CFHR2, CFHR3, CFHR4, CFHR5, CF1, COL8A , COL10A1, CST3, CX3CR, ELOVL,  ERCC6, F13B, FBLN5, FILIP1L, FRK, HMCN1, HTRA1, LIPC, MAP2, TIMP3, TNFRSF10A, and VEGFA) as possible risk factors for age-related macular degeneration. "
"Aicardi syndrome",,https://ghr.nlm.nih.gov/condition/aicardi-syndrome,,"Affected individuals also have chorioretinal lacunae, which are defects in the light-sensitive tissue at the back of the eye (retina).In addition to chorioretinal lacunae, people with Aicardi syndrome may have other eye abnormalities such as small or poorly developed eyes (microphthalmia) or a gap or hole (coloboma) in the optic nerve, a structure that carries information from the eye to the brain. These eye abnormalities may cause blindness in affected individuals.",,,,"The cause of Aicardi syndrome is unknown. Because it occurs almost exclusively in females, researchers believe that it is probably the result of a mutation in a gene on the X chromosome. "
"Aicardi-Goutières syndrome",,https://ghr.nlm.nih.gov/condition/aicardi-goutieres-syndrome,,"vision problems",,,,"Mutations in several genes can cause Aicardi-Goutières syndrome. (ADA, IFIH1,  RNASEH2A, RNASEH2B, RNASEH2C, SAMHD1 , TREX1"
