Name1,GHR-webpage1,frequency1,Description1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
"15q13.3 microdeletion",https://ghr.nlm.nih.gov/condition/15q133-microdeletion,"15q13.3 microdeletion likely occurs in about 1 in 40,000 people in the",html,memo,related-chromosome,name,ghr-page,"15q13.3 microdeletion syndrome",db,key,2016-08,2017-12-291,,,,
,,"general population. It appears to be more common in people with ",html:p,"autosomal dominant",,15,https://ghr.nlm.nih.gov/chromosome/15,"chromosome 15q13.3 deletion syndrome",GTR,C2677613,,,,,,
,,,,,,,,,,,,,,,,
"15q24 microdeletion",https://ghr.nlm.nih.gov/condition/15q24-microdeletion,"This condition is very rare; only a few dozen affected individuals have",html,memo,related-chromosome,name,ghr-page,"15q24 deletion",db,key,2011-09,2017-12-29,,,,
,,"been identified.",html:p,"not inherited",,15,https://ghr.nlm.nih.gov/chromosome/15,"15q24 microdeletion syndrome",GTR,C3150674,,,,,,
,,,,,,,,"interstitial deletion of chromosome 15q24",db,key,,,,,,
,,,,,,,,,GeneReviews,mdel15q24,,,,,,
"16p11.2 deletion syndrome",https://ghr.nlm.nih.gov/condition/16p112-deletion-syndrome,"Most people tested for the 16p11.2 deletion have come to medical attention",html,memo,related-chromosome,name,ghr-page,"autism, susceptibility to, 14A",db,key,2014-09,2017-12-29,,,,
,,"as a result of developmental delay or autistic behaviors. Other individuals with",html:p,"autosomal dominant",,16,https://ghr.nlm.nih.gov/chromosome/16,AUTS14A,GTR,C3150154,,,,,,
,,"the 16p11.2 deletion have no associated health or  problems, and so",,,,,,,db,key,,,,,,
,,"the deletion may never be detected. For this reason, the prevalence of this",,,,,,,GTR,CN128718,,,,,,
,,"deletion in the general population is difficult to determine but has been",html:p,,,,,,db,key,,,,,,
,,"estimated at approximately 3 in 10,000.",,,,,,,GeneReviews,del16p11_2,,,,,,
,,,,,,,,,,,,,,,,
"16p11.2 duplication",https://ghr.nlm.nih.gov/condition/16p112-duplication,"16p11.2 duplications have been estimated to occur in about 3 in 10,000",html,memo,related-chromosome,name,ghr-page,"16p11.2 duplication syndrome",db,key,2016-12,2017-12-29,,,,
,,"people. These changes are present in about 4 in 10,000 people who have mental",html:p,"autosomal dominant",,16,https://ghr.nlm.nih.gov/chromosome/16,"16p11.2 microduplication",GTR,C3150155,,,,,,
,,"health problems or difficulties with  and . Many people with the",,,,,,"autism, susceptibility to, 14B",db,key,,,,,,
,,"duplication are likely never diagnosed because there are many causes of these",,,,,,AUTS14B,MeSH,D025063,,,,,,
,,"problems, and some people with the duplication have no related health or",,,,,,,db,key,,,,,,
,,"developmental problems.",,,,,,,OMIM,614671,,,,,,
,,,,,,,,,db,key,,,,,,
"16p12.2 microdeletion",https://ghr.nlm.nih.gov/condition/16p122-microdeletion,"Researchers estimate that about 1 in 2,000 newborns have a 16p12.2",html,memo,related-chromosome,name,ghr-page,"16p12.1 microdeletion",db,key,2017-08,2017-12-29,,,,
,,"microdeletion and show signs and symptoms of the condition. However, the actual",html:p,"autosomal dominant",,16,https://ghr.nlm.nih.gov/chromosome/16,"chromosome 16p12.1 deletion syndrome, 520-kb",GeneReviews,mdel16p12_2,,,,,,
,,"number may be higher because many people with the microdeletion are likely never",,,,,,,db,key,,,,,,
,,"diagnosed. Some never come to medical attention because they have no related",,,,,,,MeSH,D025063,,,,,,
,,"health or  problems or have only mild signs and symptoms. Others have",,,,,,,db,key,,,,,,
,,"nonspecific features for which there can be many causes.",,,,,,,OMIM,136570,,,,,,
,,,,,,,,,,,,,,,,
"17 alpha-hydroxylase/17,20-lyase deficiency",https://ghr.nlm.nih.gov/condition/17-alpha-hydroxylase-17-20-lyase-deficiency,"17α-hydroxylase/17,20-lyase deficiency accounts for about 1 percent of",html,memo,related-gene,gene-symbol,ghr-page,"17-alpha-hydroxylase deficiency",db,key,2016-03,2017-12-29,,,,
,,"congenital adrenal hyperplasia cases. It is estimated to occur in 1 in 1 million",html:p,"autosomal recessive",,CYP17A1,https://ghr.nlm.nih.gov/gene/CYP17A1,"17-alpha-hydroxylase-deficient congenital adrenal hyperplasia",GTR,C0268285,,,,,,
,,"people worldwide.",,,,,,"adrenal hyperplasia V",db,key,,,,,,
,,,,,,,,"combined 17 alpha-hydroxylase/17,20-lyase deficiency",MeSH,D000312,,,,,,
,,,,,,,,"congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency",db,key,,,,,,
,,,,,,,,"congenital adrenal hyperplasia type 5",OMIM,202110,,,,,,
,,,,,,,,"deficiency of steroid 17-alpha-monooxygenase",db,key,,,,,,
,,,,,,,,,,,,,,,,
"17-beta hydroxysteroid dehydrogenase 3 deficiency",https://ghr.nlm.nih.gov/condition/17-beta-hydroxysteroid-dehydrogenase-3-deficiecy,"17-beta hydroxysteroid dehydrogenase 3 deficiency is a rare disorder.",html,memo,related-gene,gene-symbol,ghr-page,"17-beta hydroxysteroid dehydrogenase III deficiency",db,key,2008-11,2017-12-29,,,,
,,"Researchers have estimated that this condition occurs in approximately 1 in",html:p,"autosomal recessive",,HSD17B3,https://ghr.nlm.nih.gov/gene/HSD17B3,"17-ketosteroid reductase deficiency of testis",GTR,CN239160,,,,,,
,,"147,000 newborns. It is more common in the Arab population of Gaza, where it",,,,,,"17-KSR deficiency",db,key,,,,,,
,,"affects 1 in 200 to 300 people.",,,,,,"neutral 17-beta-hydroxysteroid oxidoreductase deficiency",MeSH,D058490,,,,,,
,,,,,,,,"pseudohermaphroditism, male, with gynecomastia",db,key,,,,,,
,,,,,,,,"testosterone 17-beta-dehydrogenase deficiency",OMIM,264300,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"17β-hydroxysteroid dehydrogenase type 10 deficiency",https://ghr.nlm.nih.gov/condition/17beta-hydroxysteroid-dehydrogenase-type-10-de,"The prevalence of HSD10 deficiency is unknown. At least 11 affected",html,memo,related-gene,gene-symbol,ghr-page,"2-methyl-3-hydroxybutyric aciduria",db,key,2009-10,2017-12-29,,,,
,ficiency,"individuals have been identified.",html:p,"X-linked dominant",,HSD17B10,https://ghr.nlm.nih.gov/gene/HSD17B10,"2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency",GTR,C1845517,,,,,,
,,,,,,,,2M3HBA,db,key,,,,,,
,,,,,,,,"3-hydroxy-2-methylbutyryl-CoA dehydrogenase deficiency",MeSH,D028361,,,,,,
,,,,,,,,"3H2MBD deficiency",db,key,,,,,,
,,,,,,,,"HSD10 deficiency",OMIM,300438,,,,,,
,,,,,,,,"hydroxyacyl-CoA dehydrogenase II deficiency",db,key,,,,,,
,,,,,,,,"MHBD deficiency","SNOMED CT",791000124107,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",801000124108,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"17q12 deletion syndrome",https://ghr.nlm.nih.gov/condition/17q12-deletion-syndrome,"The worldwide prevalence of 17q12 deletion syndrome is unknown, although",html,memo,related-gene,gene-symbol,ghr-page,"17q12 chromosomal microdeletion",db,key,2017-04,2017-12-29,,,,
,,"the condition appears to be rare. One study estimated that 17q12 deletion",html:p,"autosomal dominant",,HNF1B,https://ghr.nlm.nih.gov/gene/HNF1B,"17q12 microdeletion",GTR,C3281138,,,,,,
,,"syndrome occurs in 1 in 14,500 people in Iceland.",,,related-gene,gene-symbol,ghr-page,"17q12 recurrent deletion syndrome",db,key,,,,,,
,,,,,,LHX1,https://ghr.nlm.nih.gov/gene/LHX1,"deletion 17q12",GeneReviews,mdel17q12,,,,,,
,,,html:p,,related-chromosome,name,ghr-page,"recurrent genomic rearrangement in chromosome 17q12",db,key,,,,,,
,,,,,,17,https://ghr.nlm.nih.gov/chromosome/17,,MeSH,D001523,,,,,,
,,,,,,,,,,,,,,,,
"17q12 duplication",https://ghr.nlm.nih.gov/condition/17q12-duplication,"17q12 duplications appear to be uncommon. Several dozen people with this",html,memo,related-chromosome,name,ghr-page,"17q12 duplication syndrome",db,key,2017-04,2017-12-29,,,,
,,"chromosomal change have been described in the medical literature.",html:p,"autosomal dominant",,17,https://ghr.nlm.nih.gov/chromosome/17,"17q12 microduplication",GTR,C3281137,,,,,,
,,,,,,,,"17q12 microduplication syndrome",db,key,,,,,,
,,,,,,,,"17q12 recurrent duplication",GeneReviews,dup17q12,,,,,,
,,,html:p,,,,,"chromosome 17q12 duplication syndrome",db,key,,,,,,
,,,,,,,,"recurrent duplication of 17q12",MeSH,D002658,,,,,,
,,,,,,,,,db,key,,,,,,
"19p13.13 deletion syndrome",https://ghr.nlm.nih.gov/condition/19p1313-deletion-syndrome,"This condition appears to be rare. About 10 affected individuals have been",html,memo,related-gene,gene-symbol,ghr-page,"19p13.13 microdeletion",db,key,2016-06,2017-12-29,,,,
,,"described in the medical literature.",html:p,"not inherited",,BEST2,https://ghr.nlm.nih.gov/gene/BEST2,"19p13.13 microdeletion syndrome",GTR,C3150894,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,"chromosome 19p13.13 deletion syndrome",db,key,,,,,,
,,,,,,CACNA1A,https://ghr.nlm.nih.gov/gene/CACNA1A,,MeSH,D025063,,,,,,
,,,html:p,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,,CALR,https://ghr.nlm.nih.gov/gene/CALR,,OMIM,613638,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,*,,,MAST1,https://ghr.nlm.nih.gov/gene/MAST1,,Orphanet,357001,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,,NFIX,https://ghr.nlm.nih.gov/gene/NFIX,,,,,,,,,
,,,,,related-chromosome,name,ghr-page,,,,,,,,,
,,,html:p,,,19,https://ghr.nlm.nih.gov/chromosome/19,,,,,,,,,
,,,,,,,,,,,,,,,,
"1p36 deletion syndrome",https://ghr.nlm.nih.gov/condition/1p36-deletion-syndrome,"1p36 deletion syndrome is believed to affect between 1 in 5,000 and 1 in",html,memo,related-chromosome,name,ghr-page,"chromosome 1p36 deletion syndrome",db,key,2014-01,2017-12-29,,,,
,,"10,000 newborns. However, this may be an underestimate because some affected",html:p,"not inherited",,1,https://ghr.nlm.nih.gov/chromosome/1,"distal monosomy 1p36",GTR,C1842870,,,,,,
,,"individuals are likely never diagnosed.",,,,,,"monosomy 1p36 syndrome",db,key,,,,,,
,,,,,,,,,,,,,,,,
"1q21.1 microdeletion",https://ghr.nlm.nih.gov/condition/1q211-microdeletion,"1q21.1 microdeletion is a rare chromosomal change; only a few dozen",html,memo,related-gene,gene-symbol,ghr-page,"1q21.1 contiguous gene deletion",db,key,2012-10,2017-12-29,,,,
,,"individuals with this deletion have been reported in the medical literature.",html:p,"autosomal dominant",,ACP6,https://ghr.nlm.nih.gov/gene/ACP6,"1q21.1 deletion",GTR,C2675897,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,"chromosome 1q21.1 deletion syndrome",db,key,,,,,,
,,,,,,BCL9,https://ghr.nlm.nih.gov/gene/BCL9,"chromosome 1q21.1 deletion syndrome, 1.35-Mb",GeneReviews,mdel1q21_1,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,,CHD1L,https://ghr.nlm.nih.gov/gene/CHD1L,,MeSH,D025063,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,html:p,,,FMO5,https://ghr.nlm.nih.gov/gene/FMO5,,OMIM,612474,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,,GJA5,https://ghr.nlm.nih.gov/gene/GJA5,,Orphanet,250989,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,html:p,,,GJA8,https://ghr.nlm.nih.gov/gene/GJA8,,"SNOMED CT",699305004,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,,GPR89B,https://ghr.nlm.nih.gov/gene/GPR89B,,,,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,,HYDIN,https://ghr.nlm.nih.gov/gene/HYDIN,,,,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,,PRKAB2,https://ghr.nlm.nih.gov/gene/PRKAB2,,,,,,,,,
,,,,,related-chromosome,name,ghr-page,,,,,,,,,
,,,,,,1,https://ghr.nlm.nih.gov/chromosome/1,,,,,,,,,
,,,,,,,,,,,,,,,,
"1q21.1 microduplication",https://ghr.nlm.nih.gov/condition/1q211-microduplication,"1q21.1 microduplications occur in about 3 in 10,000 individuals in the",html,memo,related-chromosome,name,ghr-page,"1q21.1 duplication",db,key,2014-11,2017-12-29,,,,
,,"general population. Studies suggest that these chromosomal changes are 15 to 20",html:p,"autosomal dominant",,1,https://ghr.nlm.nih.gov/chromosome/1,"1q21.1 duplication syndrome",GTR,C2675891,,,,,,
,,"times more common in people with  or . Many",,,,,,,db,key,,,,,,
,,"people with 1q21.1 microduplications are likely never diagnosed because the",,,,,,,MeSH,D025063,,,,,,
,,"features of this condition can have a variety of causes. In addition, some",,,,,,,db,key,,,,,,
,,"people with this chromosomal change have no related health or developmental",html:p,,,,,,OMIM,612475,,,,,,
,,"problems that would bring them to medical attention.",,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,250994,,,,,,
,,,,,,,,,,,,,,,,
"2-hydroxyglutaric aciduria",https://ghr.nlm.nih.gov/condition/2-hydroxyglutaric-aciduria,"2-hydroxyglutaric aciduria is a rare disorder. D-2-HGA and L-2-HGA have",html,memo,related-gene,gene-symbol,ghr-page,2-HGA,db,key,2013-08,2017-12-29,,,,
,,"each been reported to affect fewer than 150 individuals worldwide. Combined",html:p,"autosomal dominant",,D2HGDH,https://ghr.nlm.nih.gov/gene/D2HGDH,,GTR,C1855995,,,,,,
,,"D,L-2-HGA appears to be even rarer, with only about a dozen reported cases.",,memo,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,"autosomal recessive",,IDH2,https://ghr.nlm.nih.gov/gene/IDH2,,GTR,C2746066,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,html:p,,,L2HGDH,https://ghr.nlm.nih.gov/gene/L2HGDH,,GTR,C3150909,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,,SLC25A1,https://ghr.nlm.nih.gov/gene/SLC25A1,,GTR,C3152055,,,,,,
,,,,,,,,,"SNOMED CT",698870008,,,,,,
"21-hydroxylase deficiency",https://ghr.nlm.nih.gov/condition/21-hydroxylase-deficiency,"The classic forms of 21-hydroxylase deficiency occur in 1 in 15,000",html,memo,related-gene,gene-symbol,ghr-page,CAH1,db,key,2015-03,2017-12-29,,,,
,,"newborns. The prevalence of the non-classic form of 21-hydroxylase deficiency is",html:p,"autosomal recessive",,CYP21A2,https://ghr.nlm.nih.gov/gene/CYP21A2,"congenital adrenal hyperplasia 1",GTR,C0852654,,,,,,
,,"estimated to be 1 in 1,000 individuals. The prevalence of both classic and",,,,,,"congenital adrenal hyperplasia due to 21 hydroxylase deficiency",db,key,,,,,,
,,"non-classic forms varies among different ethnic populations.21-hydroxylase",,,,,,"CYP21 deficiency",GeneReviews,cah,,,,,,
,,"deficiency is one of a group of disorders known as congenital adrenal",,,,,,,db,key,,,,,,
,,"hyperplasias that impair hormone production and disrupt sexual development.",,,,,,,ICD-10-CM,E25.0,,,,,,
,,"21-hydroxylase deficiency is responsible for about 95 percent of all cases of",html:p,,,,,,db,key,,,,,,
,,"congenital adrenal hyperplasia.",,,,,,,MeSH,D000312,,,,,,
,,,,,,,,,,,,,,,,
"22q11.2 deletion syndrome",https://ghr.nlm.nih.gov/condition/22q112-deletion-syndrome,"22q11.2 deletion syndrome affects an estimated 1 in 4,000 people. However,",html,memo,related-gene,gene-symbol,ghr-page,22q11.2DS,db,key,2013-07,2017-12-29,,,,
,,"the condition may actually be more common than this estimate because doctors and",html:p,"autosomal dominant",,COMT,https://ghr.nlm.nih.gov/gene/COMT,"autosomal dominant Opitz G/BBB syndrome",GTR,C0012236,,,,,,
,,"researchers suspect it is underdiagnosed due to its variable features. The",,,related-gene,gene-symbol,ghr-page,CATCH22,db,key,,,,,,
,,"condition may not be identified in people with mild signs and symptoms, or it",,,,TBX1,https://ghr.nlm.nih.gov/gene/TBX1,"Cayler cardiofacial syndrome",GTR,C0220704,,,,,,
,,"may be mistaken for other disorders with overlapping features.",,,related-chromosome,name,ghr-page,"conotruncal anomaly face syndrome (CTAF)",db,key,,,,,,
,,,html:p,,,22,https://ghr.nlm.nih.gov/chromosome/22,"deletion 22q11.2 syndrome",GTR,C0431406,,,,,,
,,,,,,,,"DiGeorge syndrome",db,key,,,,,,
,,,,,,,,"Sedlackova syndrome",GTR,C1801950,,,,,,
,,,,,,,,"Shprintzen syndrome",db,key,,,,,,
,,,,,,,,VCFS,GeneReviews,gr_22q11deletion,,,,,,
,,,,,,,,"velo-cardio-facial syndrome",db,key,,,,,,
,,,,,,,,"velocardiofacial syndrome",ICD-10-CM,D82.1,,,,,,
,,,,,,,,,db,key,,,,,,
"22q11.2 duplication",https://ghr.nlm.nih.gov/condition/22q112-duplication,"The prevalence of the 22q11.2 duplication in the general population is",html,memo,related-chromosome,name,ghr-page,"chromosome 22q11.2 duplication syndrome",db,key,2015-01,2017-12-29,,,,
,,"difficult to determine. Because many individuals with this duplication have no",html:p,"autosomal dominant",,22,https://ghr.nlm.nih.gov/chromosome/22,"chromosome 22q11.2 microduplication syndrome",GTR,C2675369,,,,,,
,,"associated symptoms, their duplication may never be detected.Most people tested",,,,,,,db,key,,,,,,
,,"for the 22q11.2 duplication have come to medical attention as a result of",,,,,,,GeneReviews,dupl22q11,,,,,,
,,"developmental delay or other problems affecting themselves or a family member.",html:p,,,,,,db,key,,,,,,
,,"In one study, about 1 in 700 people tested for these reasons had the 22q11.2",,,,,,,MeSH,D025063,,,,,,
,,"duplication. Overall, more than 60 individuals with the duplication have been",,,,,,,db,key,,,,,,
,,identified.,,,,,,,OMIM,608363,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",699311001,,,,,,
"22q13.3 deletion syndrome",https://ghr.nlm.nih.gov/condition/22q133-deletion-syndrome,"At least 500 cases of 22q13.3 deletion syndrome are known.",html,memo,related-gene,gene-symbol,ghr-page,"22q13 deletion syndrome",db,key,2009-09,2017-12-29,,,,
,,,html:p,"autosomal dominant",,SHANK3,https://ghr.nlm.nih.gov/gene/SHANK3,"deletion 22q13 syndrome",GTR,C1853490,,,,,,
,,,,,related-chromosome,name,ghr-page,"deletion 22q13.3 syndrome",db,key,,,,,,
,,,,,,22,https://ghr.nlm.nih.gov/chromosome/22,"monosomy 22q13",GeneReviews,gr_22q13_3,,,,,,
,,,,,,,,"Phelan-McDermid syndrome",db,key,,,,,,
,,,,,,,,,,,,,,,,
"2q37 deletion syndrome",https://ghr.nlm.nih.gov/condition/2q37-deletion-syndrome,"2q37 deletion syndrome appears to be a rare condition, although its exact",html,memo,related-chromosome,name,ghr-page,"Albright hereditary osteodystrophy-like syndrome",db,key,2009-04,2017-12-29,,,,
,,"prevalence is unknown. Approximately 100 cases have been reported worldwide.",html:p,"not inherited",,2,https://ghr.nlm.nih.gov/chromosome/2,"brachydactyly-mental retardation syndrome",GTR,C1838126,,,,,,
,,,,,,,,,db,key,,,,,,
"3-beta-hydroxysteroid dehydrogenase deficiency",https://ghr.nlm.nih.gov/condition/3-beta-hydroxysteroid-dehydrogenase-deficiency,"The exact prevalence of 3β-HSD deficiency is unknown. At least 60 affected",html,memo,related-gene,gene-symbol,ghr-page,"3 beta-HSD deficiency",db,key,2015-04,2017-12-29,,,,
,,"individuals have been reported.",html:p,"autosomal recessive",,HSD3B2,https://ghr.nlm.nih.gov/gene/HSD3B2,"3 beta-ol dehydrogenase deficiency",GTR,C0342471,,,,,,
,,,,,,,,"3-beta–hydroxysteroid dehydrogenase deficiency",db,key,,,,,,
,,,,,,,,"3b-hydroxysteroid dehydrogenase deficiency",ICD-10-CM,E25.0,,,,,,
,,,,,,,,"3β-HSD deficiency",db,key,,,,,,
,,,,,,,,"3β-HSD deficiency congenital adrenal hyperplasia",MeSH,D000312,,,,,,
,,,,,,,,"3β-hydroxysteroid dehydrogenase deficiency",db,key,,,,,,
,,,,,,,,"type II 3β-hydroxysteroid dehydrogenase deficiency",OMIM,201810,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,,,,,
"3-hydroxy-3-methylglutaryl-CoA lyase deficiency",https://ghr.nlm.nih.gov/condition/3-hydroxy-3-methylglutaryl-coa-lyase-deficienc,"HMG-CoA lyase deficiency is a rare condition; it has been reported in fewer",html,memo,related-gene,gene-symbol,ghr-page,"3-hydroxy-3-methylglutaryl-coenzyme A lyase deficiency",db,key,2017-03,2017-12-29,,,,
,y,"than 100 individuals worldwide. Most people diagnosed with this disorder have",html:p,"autosomal recessive",,HMGCL,https://ghr.nlm.nih.gov/gene/HMGCL,"3-OH 3-CH3 glutaric aciduria",GTR,C0268601,,,,,,
,,"been from Saudi Arabia, Portugal, or Spain.",,,,,,"3-OH 3-methyl glutaric aciduria",db,key,,,,,,
,,,,,,,,3HMG,MeSH,D000592,,,,,,
,,,,,,,,"Deficiency of hydroxymethylglutaryl-CoA lyase",db,key,,,,,,
,,,,,,,,HMG,OMIM,246450,,,,,,
,,,html:p,,,,,"HMG-CoA lyase deficiency",db,key,,,,,,
,,,,,,,,"Hydroxymethylglutaric aciduria",Orphanet,20,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,,,,,
"3-hydroxyacyl-CoA dehydrogenase deficiency",https://ghr.nlm.nih.gov/condition/3-hydroxyacyl-coa-dehydrogenase-deficiency,"The exact incidence of 3-hydroxyacyl-CoA dehydrogenase deficiency is",html,memo,related-gene,gene-symbol,ghr-page,"3-alpha-hydroxyacyl-coenzyme A dehydrogenase deficiency",db,key,2010-04,2017-12-29,,,,
,,"unknown; it has been reported in only a small number of people worldwide.",html:p,"autosomal recessive",,HADH,https://ghr.nlm.nih.gov/gene/HADH,"3-hydroxyacyl-coenzyme A dehydrogenase deficiency",GTR,C1291230,,,,,,
,,,,,,,,"deficiency of 3-hydroxyacyl-CoA dehydrogenase",db,key,,,,,,
,,,,,,,,"HAD deficiency",MeSH,D008052,,,,,,
,,,html:p,,,,,"HADH deficiency",db,key,,,,,,
,,,,,,,,"HADHSC deficiency",OMIM,231530,,,,,,
,,,,,,,,"L-3-alpha-hydroxyacyl-CoA dehydrogenase, short chain, deficiency",db,key,,,,,,
,,,,,,,,"M/SCHAD deficiency",Orphanet,71212,,,,,,
,,,,,,,,"SCHAD deficiency",db,key,,,,,,
,,,,,,,,,"SNOMED CT",124122005,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"3-M syndrome",https://ghr.nlm.nih.gov/condition/3-m-syndrome,"3-M syndrome is a rare disorder. About 50 individuals with this disorder",html,memo,related-gene,gene-symbol,ghr-page,3-MSBN,db,key,2008-06,2017-12-29,,,,
,,"have been identified worldwide.",html:p,"autosomal recessive",,CUL7,https://ghr.nlm.nih.gov/gene/CUL7,"dolichospondylic dysplasia",GTR,C1848862,,,,,,
,,,,,,,,"Le Merrer syndrome",db,key,,,,,,
,,,,,,,,"three-M slender-boned nanism",GeneReviews,gr_3ms,,,,,,
,,,,,,,,"three M syndrome",db,key,,,,,,
,,,html:p,,,,,"Yakut  syndrome",MeSH,D004392,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,273750,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,2616,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",702342007,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
