symptoms,,,,,,"symptoms development"
"Intellectual disability",,,,,,"present at birth"
"seizures (epilepsy)",,,,,,"develop over time"
"psychiatric disorder",,,,,,"begins in childhood, usually before 4"
"learning problem/difficulties",,,,,,
"Growth development problem, eg slow growth (before birth(intrauterine) or after birth, growth spurt (adolescent)), rapid growth and overgrowth (macrosomia), early growth, growth failure and delayed growth. Reduced puberty growth, lack of growth spurt",,,,,,
"Underdevelopment (Hypoplasia) : a flat or sunken appearance of the middle of the face (midface hypoplasia); muscle hypoplasia; underdevelopment of the region at the back of the eye responsible for sharp central vision (foveal hypoplasia); thin enamel on the teeth (enamel hypoplasia); hypoplasia of cerebellum and the pons; underdevelopment of the nerves that carry information from the eyes to the brain (optic nerve hypoplasia); (hypoplasia) of the tips of the fingers or toes, or hypoplasia or absence of the nails; corpus callosum hypoplasia; underdevelopment of the lungs (pulmonary hypoplasia); underdevelopment of one side of the upper or lower jaw (maxillary or mandibular hypoplasia);  thin or missing patches of skin on the scalp (dermal hypoplasia or aplasia); underdeveloped thumbs (thumb hypoplasia); very thin skin (dermal hypoplasia); focal dermal hypoplasia; underdevelopment of pituitary gland (pituitary hypoplasia);  hypoplasia of Leydig cells in the testes; cerebellar hypoplasia;   malar hypoplasia; mandibular hypoplasia, also called micrognathia; hypoplasia of the labia majora; (hypoplasia) of a peg-like bone in the neck called the odontoid process; heart, lung, brain underdevelopment; thyroid; (hypoplasia) of one or both kidneys; genital hypoplasia; bones of the skull; scrotum; underdevelopment of the wing-shaped structures of pelvis (hypoplastic iliac wings); ear canal",,,,,,
"Reduced production of hormones directs sexual development (hypogonadotropic hypogonadism); ",,,,,,
"Poor muscle development",,,,,,
"deformities of joint that limiting movement (contractures) of hips, knees, ankles, or elbows; distal arthrogryposis; (camptodactyly), bent fingers and toes hand deformity in which all of the fingers are angled outward toward the fifth finger (ulnar deviation, also called ""windmill vane hand"");  inward- and downward-turning feet (clubfoot); contractures in the legs and hips; turning in (valgus deformity) of the feet; contractures affecting elbows and wrists",,,,,,
"disrupt sexual development and maturation",,,,,,
"secondary development of sexual characteristic",,,,,,
schizophrenia,,,,,,
"psychomotor regression",,,,,,
"Developmental disorder",,,,,,
"Delay development and disability",,,,,,
"Delayed development: involuntary movements (motor tics)",,,,,,
"Developmental delays: physical",,,,,,
"Developmental delays: skills",,,,,,
"Developmental delays: delayed development of mental and motor skills such as crawling, sitting, standing, holding up the head and rolling over,reaching for a toy and walking (psychomotor)",,,,,,
"Developmental delays: delayed development of speech",,,,,,
"dysarthria 構音障礙",,,,,,
"Developmental delays: growth delays",,,,,,
"Developmental delay: expressive language skills",,,,,,
"Autism: Impaired communication",,,,,,
"Autism: Disorder in social interaction",,,,,,
"Autism spectrum disorder(s) (ASD)",,,,,,
"behavioral problems",,,,,,
"short attention span",,,,,,
"physical aggression",,,,,,
"aggressive behavior",,,,,,
hyperactive,,,,,,
anxiety,,,,,,
"bipolar disorder",,,,,,
"depression/ depressive disorder",,,,,,
"heart defect",,,,,,
"heart defect: tetralogy of Fallot",,,,,,
"heart defect: patent ductus arteriosus (PDA)",,,,,,
"heart defect: aortic root dilatation",,,,,,
"heart defect: (ASD) artricular septal defects or ventricular septal defects (VSD)",,,,,,
"abnormal heart rhythm (arrhythmia)",,,,,,
dwarfism,,,,,,
"short stature",,,,,,
"tall stature",,,,,,
"small stature",,,,,,
"Shaking; Rhythmic shaking; tremor; trembling 震顫",,,,,,
"bone abnormalities in their hands and arms",,,,,,
"weak/ low muscle tone (hypotonia)",,,,,,
"hand tremor",,,,,,
"head tremor",,,,,,
"vocal tremor",,,,,,
"essential tremor",,,,,,
"intention tremor; involuntary rhythmic shaking; tremor occurs during movement",,,,,,
"resting tremor",,,,,,
"arm and hand shaking",,,,,,
"leg tremor",,,,,,
"postural tremor; shaking when holding a position",,,,,,
"problems with coordinating muscle movement and balance (ataxia)",,,,,,
"genital abnormalities: unusually small penis (micropenis)",,,,,,
"opening of the urethra on the underside of the penis (hypospadias) ",,,,,,
"external genital abnormalities",,,,,,
"abnormal male genitalia",,,,,,
"ambiguous genitalia",,,,,,
"Abnormalities of the genitalia and urinary tract(genitourinary abnormalities) (genitourinary anomalies)",,,,,,
"small external genital",,,,,,
"skeletal abnormalities",,,,,,
"loose joints (joints laxity, hyperextensible)  /very flexible (hypermobile)",,,,,,
"stiff joints",,,,,,
"misalignment of hip joints (hip dysplasia)",,,,,,
"develop arthritis in large joints",,,,,,
"joint movement restriction",,,,,,
"deterioration of joints",,,,,,
"joint inflammation",,,,,,
"vertebrae joint inflammation (spondylities)",,,,,,
"Inflammation of joints between spine and ribs",,,,,,
"swelling of joints ",,,,,,
"pain joints",,,,,,
"sacroiliac joints (joints between the pelvic bones (the ilia) and the base of the spine (the sacrum) ) inflammation (sacroiliitis)",,,,,,
"Arthritis: Inflammation of the lining of joints (synovium)",,,,,,
" Inflammation of the joints of the hands, feet, wrist and ankle (synovitis)",,,,,,
"Charcot joints: bones and tissue surrounding joints are destroyed",,,,,,
"stiff, rigid joints (arthrogryposis)",,,,,,
"degeneration of (avascular necrosis) of the hip and shoulder joints",,,,,,
"enlarged wrist and ankled knee and ankle joints",,,,,,
"webbing of the skin (pterygium) at the joints",,,,,,
"low weight",,,,,,
"abnormal wrist and elbow joint development ",,,,,,
"calcium deposits in the joints",,,,,,
"muscle stiffness (spasticity)",,,,,,
"muscle weakness (myopathy)",,,,,,
"Poor muscle tone; Uncontrolled muscle tensing/cramping/contraction (dystonia): cervical dystonia, focal dystonia of hand; dystonia affecting arms and legs; Musician's dystonia is a form of task-specific focal dystonia; embouchure dystonia",,,,,,
"shortage of red blood cells",,,,,,
"abnormal development of bone marrow cells called megakaryocytes",,,,,,
"aplasia cutis congenita: abnormal skin development",,,,,,
eczema,,,,,,
"teeth to be unusually small, discolored, pitted or grooved,  and prone to rapid wear and breakage",,,,,,
"Abnormal development of ectodermal tissues including the skin, hair, teeth, and sweat",,,,,,
"Abnormal development of the ears and lower jaw (mandible);abnormality called a ""question-mark ear,"" in which the ears have a distinctive question-mark shape caused by a split that separates the upper part of the ear from the earlobe",,,,,,
"cupped ears",,,,,,
"ears with fewer folds",,,,,,
"narrow ear canals",,,,,,
"small skin tags in front of or behind the ears",,,,,,
"ears that are rotated backward",,,,,,
"loss of hearings",,,,,,
