Symptoms,,,,"Symptoms development periods (before birth, at birth, childhood, adolescent)"
"Mental health problem","Psychiatric disorder such as schizophrenia (common symptoms include false beliefs, unclear or confused thinking, hearing voices that others do not, reduced social engagement and emotional expression, and a lack of motivation); Bipolar disorder-a mental disorder that causes periods of depression and periods of elevated mood. The elevated mood is significant and is known as mania or hypomania, depending on its severity, or whether symptoms of psychosis are present; depression; anxiety; sleep disturbances; hallucinations; irritability; psychomotor regression; distorted view of reality (psychosis); visual hallucination; ",,,
"Intellectual problems","disability; learning difficulties; disability that ranges from mild to severe; impaired receptive language skills (the ability to understand speech); IQ is 26 points lower, in average, than their parents without the genetic aberation; decline in intellectual function (dementia); memory loss; loss of executive function; cognitive decline; Memory loss; get lost; Routine tasks can be challenging; difficult to recognize people; loss of language skills; progressive loss of intellectual function (dementia); range from normal to mild or moderate intellectual disability",,,
Expression,"Delayed development of speech and language; Developmental delay in expressive language skills; Dysarthria-characterized by slurred or slow speech that can be difficult to understand; Impaired communication; Delayed development of speech; expressive language skills (vocabulary and the production of speech) are severely affected; do not speak, or speak only a few words; absent of speech; expressionless face; speech abnormalities; speech impairments; loss of language skills; ",,,
"Interaction (autism spectrum disorder)","Impaired communicaion and socialization skills; impaired receptive language skills (the ability to understand speech); do not speak, or speak only a few words; poor eye contact; sensitivity to touch; features of autism spectrum disorders; social phobias; selctive mutism, inability to speak in certain circumstances);  lack of eye contact; loss of social inhibitions;  trouble interacting in a socially appropriate manner; communication problems; impaired social skills; reduced eye contact; ",,,
"Behavioral problem","short attention span; aggressive behavior; impulsive behaviour; hyperactivity; repititive behaviour; self-injury; attention deficit hyperactivity disorder;  temper tantrums; bites themselves; chew on non-food items; obsessive-compulsive disorder (OCD); features of autism spectrum disorders; excessively defiant behavior (oppositional disorder); a weak cry; repetitive behaviors; lack of eye contact; autistic behavior; irritability; confusion;  sleep problems; loss of social inhibitions; extremely irritable; personality and behavioral changes; Changes in personality and behavior; agitation, restlessness, withdrawal; very irritable; paranoia; have a happy, excitable demeanor with frequent smiling, laughter, and hand-flapping movements; fascination with water; startle easily;  sleep disturbances;  obsessive-compulsive disorder;  eating disorders; repetition of words or noises (echolalia); perseveration; strongly resist disruptions such as changes in schedule; decreased appetite; craving for salty foods; ",,,
"Epilepsy/ Seizures; convulsion","Recurrent seizures (epilepsy);  myoclonus; spasms; convulsion; spasticity; seizure-like episodes (which can include muscle jerking, twitching, and stiffening); eyelid twitching (blepharospasm); grimmacing; abdominal cramps; cramps after exercise or prolonged physical activity (exercise intolerance); seizures beginning in infancy (infantile spasms); stiffness in the arms and/or legs (spasticity); muscle twitching; back or leg cramps; seizures occur at night (nocturnally); seizures usually characterized by sound-related (auditory) symptoms such as buzzing, humming, ringing, specific voices or music, or changes in the volume of sounds; receptive aphasia; ",,,
"Movement problems/ problems with movement","difficult to walk; shaking; reduced sensation in their legs; Rhythmic shaking; tremor; trembling 震顫; Delayed development of involuntary movements (motor tics); psychomotor regression; psychomotor delay; hand tremor; arms and hands shaking; head tremor; hand tremors; vocal tremor; essential tremor; intention tremor; involuntary rhythmic shaking; tremor occurs during movement; resting tremor, leg tremor; postural tremor; shaking when holding a position; problems with coordinating muscle movement and balance (ataxia); difficulties with movement and balance (ataxia); involuntary limb movements (choreoathetosis); problems with fine motor skills (such as holding a pencil); involuntory movement (motor tics); poor coordination;  involuntary movements of one side of the body that mirror intentional movements of the other side;  (dystonia) of the head and neck; repetitive movements;  jerking movements (chorea); eyelid twitching (blepharospasm); grimacing; limited motion at the elbows; involuntary back-and-forth eye movements (nystagmus); difficulty with controlling head movements; tremor in the fingers and hands; head, torso, legs, and tongue tremor; unusually slow movement (bradykinesia); unable to walk, speak, and care for themselves; dizziness;  problems with balance (presbystasis); temporary paralysis; recurrent episodes of temporary paralysis, often affecting one side of the body (hemiplegia 偏瘫)the paralysis alternates from one side of the body to the other or affects both sides at the same time. The paralysis lasts from minutes to days; alternating hemiplegia; hypermobility; coordination problems; paralysis; episodes of muscle weakness (periodic paralysis); abnormal or absent reflexes (areflexia); begin walking between ages 3 and 4 and lose this ability by their teenage years; involuntary eye movements (nystagmus); stiffness; difficulty moving; uncontrolled movements, especially of the head and neck; drooling; dysmetria; dysdiadochokinesis; ",,,
"Respiratory problems","Breathing problems;  asthma; respiratory insufficiency; breathing slows or stops for short periods (apnea); shallow breaths (hypoventilate); bronchiectasis; respiratory problems; develop respiratory distress within a few minutes to a few hours after birth; shortness of breath; Breathing becomes difficult; paralysis of the muscles needed for breathing; difficulty breathing; poorly controlled breathing rate; rapid breathing; asthma; feeling of breathlessness; overly fast breathing (hyperventilation); ",,,
"Feeding and digestion problems / digestive problems","vomiting; abdominal pain; swallowing difficulties (dysphagia);  weight loss, dehydration; poor absorption of nutrients; diarrhea; lose large amounts of sodium in their urine; vomiting and nausea (cyclic vomiting); dehydration;  poor appetite; excrete large amounts of acid in their urine (aciduria); 3-methylglutaconic acid in urine (3-methylglutaconic aciduria); 3-methylglutaric acid in urine (3-methylglutaconic aciduria); impaired peristalsis; malabsorption of fat-soluble vitamins (vitamins A, D, E, and K) and dietary fat; vitamin C deficiency; fatty, foul-smelling stools (steatorrhea); deficiency of vitamin E; excess protein in the urine (proteinurea); blood in the urine (hematuria); loss of appetite; difficulty releasing urine; presence of tiny grains of reddish-brown material in the baby's diaper caused by the passing of stones; blood in the urine (hematurea); malnutrition; difficulty feeding; difficulty controlling the flow of urine; scurvy; urine to turn black when exposed to air; chronic constipation; alpha-ketoglutaric aciduria; refusal to eat; unwilling to eat; feed poorly; vitamin B12 deficiency; hypercalciuria; the formation of kidney stones (nephrolithiasis); ",,,
